gestora,title,publisher,published_date,url
Daycoval Asset Management,"GGRC11, PATL11: 9 fundos imobiliários vão distribuir proventos nesta sexta-feira; confira - Suno Notícias",Suno Notícias,09/06/2023,https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vd3d3LnN1bm8uY29tLmJyL25vdGljaWFzL2FnZW5kYS1kaXZpZGVuZG9zLWdncmMxMS1tYWlzLTktZmlpcy_SAXxodHRwczovL3d3dy5zdW5vLmNvbS5ici9ub3RpY2lhcy9hZ2VuZGEtZGl2aWRlbmRvcy1nZ3JjMTEtbWFpcy05LWZpaXMvYW1wLz91dG1fc291cmNlPXR3aXR0ZXIubm90aWNpYXMmdXRtX21lZGl1bT10d2VldC5hdXRv?oc=5&hl=en-US&gl=US&ceid=US:en
Daycoval Asset Management,Petrobras (PETR4) e VALE3 (VALE3) sustentam ganhos da Bolsa antes de feriado; IRB (IRBR3) lidera quedas - InfoMoney,InfoMoney,07/06/2023,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvbWVyY2Fkb3MvaWJvdmVzcGEtaG9qZS1ib2xzYS1kZS12YWxvcmVzLWFvLXZpdm8tMDcwNjIwMjMv0gFaaHR0cHM6Ly93d3cuaW5mb21vbmV5LmNvbS5ici9tZXJjYWRvcy9pYm92ZXNwYS1ob2plLWJvbHNhLWRlLXZhbG9yZXMtYW8tdml2by0wNzA2MjAyMy9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en
Daycoval Asset Management,Redução das expectativas de inflação deve favorecer posições ... - Empiricus,Empiricus,09/05/2023,https://news.google.com/rss/articles/CBMioQFodHRwczovL3d3dy5lbXBpcmljdXMuY29tLmJyL2FydGlnb3MvaW52ZXN0aW1lbnRvcy9yZWR1Y2FvLWRhcy1leHBlY3RhdGl2YXMtZGUtaW5mbGFjYW8tZGV2ZS1mYXZvcmVjZXItcG9zaWNvZXMtcHJlZml4YWRhcy1jb25maXJhLWxpc3RhLWRlLXRpdHVsb3MtcmVjb21lbmRhZG9zL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en
Daycoval Asset Management,"BC reafirma que é preciso 'paciência e serenidade' e mantém Selic em 13,75% - Correio Braziliense",Correio Braziliense,04/05/2023,https://news.google.com/rss/articles/CBMiiwFodHRwczovL3d3dy5jb3JyZWlvYnJhemlsaWVuc2UuY29tLmJyL2Vjb25vbWlhLzIwMjMvMDUvNTA5MTk2OS1iYy1yZWFmaXJtYS1xdWUtZS1wcmVjaXNvLXBhY2llbmNpYS1lLXNlcmVuaWRhZGUtZS1tYW50ZW0tc2VsaWMtZW0tMTM3NS5odG1s0gGPAWh0dHBzOi8vd3d3LmNvcnJlaW9icmF6aWxpZW5zZS5jb20uYnIvZWNvbm9taWEvMjAyMy8wNS9hbXAvNTA5MTk2OS1iYy1yZWFmaXJtYS1xdWUtZS1wcmVjaXNvLXBhY2llbmNpYS1lLXNlcmVuaWRhZGUtZS1tYW50ZW0tc2VsaWMtZW0tMTM3NS5odG1s?oc=5&hl=en-US&gl=US&ceid=US:en
